ticker,zeitraum,puffer,punkte,faelle,rendite_mittel,rendite_median,ko_quote
CL,bis2022,1.0,2,33,-29.0,-46.0,18.2
CL,bis2022,1.0,3,6,-52.8,-49.5,16.7
CM,ab2023,1.0,0,91,39.4,-27.4,29.7
CM,ab2023,1.0,1,135,27.2,3.6,9.6
CM,ab2023,1.0,2,35,54.6,6.9,2.9
CM,ab2023,1.0,3,1,32.3,32.3,0.0
CM,bis2022,1.0,0,81,33.8,-55.3,35.8
CM,bis2022,1.0,1,125,30.3,-24.6,20.8
CM,bis2022,1.0,2,44,9.3,-23.5,15.9
CM,bis2022,1.0,3,5,-9.3,-49.8,20.0
CMCSA,ab2023,1.0,0,69,20.7,-36.0,37.7
CMCSA,ab2023,1.0,1,128,-24.2,-40.6,25.8
