datum,vix,vdax,fg,vdax_quelle
2012-10-11,,,56.00,gemessen:^GDAXI
2012-10-12,,,56.00,gemessen:^GDAXI
2012-10-15,,,54.00,gemessen:^GDAXI
2012-10-16,,,63.00,gemessen:^GDAXI
2012-10-17,,,61.00,gemessen:^GDAXI
2012-10-18,,,53.00,gemessen:^GDAXI
2012-10-19,,,56.00,gemessen:^GDAXI
2012-10-22,,,56.00,gemessen:^GDAXI
2012-10-23,,,42.00,gemessen:^GDAXI
2012-10-24,,,45.00,gemessen:^GDAXI
2012-10-25,,,41.00,gemessen:^GDAXI
2012-10-26,,,40.00,gemessen:^GDAXI
2012-10-31,,,45.00,gemessen:^GDAXI
2012-11-01,,,50.00,gemessen:^GDAXI
2012-11-02,,,50.00,gemessen:^GDAXI
2012-11-05,,,46.00,gemessen:^GDAXI
2012-11-06,,,47.00,gemessen:^GDAXI
2012-11-07,,,45.00,gemessen:^GDAXI
2012-11-08,,,40.00,gemessen:^GDAXI
2012-11-09,,,39.00,gemessen:^GDAXI
2012-11-12,,,35.00,gemessen:^GDAXI
2012-11-13,,,37.00,gemessen:^GDAXI
2012-11-14,,,31.00,gemessen:^GDAXI
2012-11-15,,,28.00,gemessen:^GDAXI
2012-11-16,,,28.00,gemessen:^GDAXI
2012-11-19,,,38.00,gemessen:^GDAXI
2012-11-20,,,42.00,gemessen:^GDAXI
2012-11-21,,,39.00,gemessen:^GDAXI
2012-11-23,,,47.00,gemessen:^GDAXI
2012-11-26,,,47.00,gemessen:^GDAXI
2012-11-27,,,49.00,gemessen:^GDAXI
2012-11-28,,,49.00,gemessen:^GDAXI
2012-11-29,,,52.00,gemessen:^GDAXI
2012-11-30,,,50.00,gemessen:^GDAXI
2012-12-03,,,45.00,gemessen:^GDAXI
2012-12-04,,,45.00,gemessen:^GDAXI
2012-12-05,,,45.00,gemessen:^GDAXI
2012-12-06,,,45.00,gemessen:^GDAXI
2012-12-07,,,51.00,gemessen:^GDAXI
2012-12-10,,,55.00,gemessen:^GDAXI
2012-12-11,,,55.00,gemessen:^GDAXI
2012-12-12,,,58.00,gemessen:^GDAXI
2012-12-13,,,60.00,gemessen:^GDAXI
2012-12-14,,,57.00,gemessen:^GDAXI
2012-12-17,,,64.00,gemessen:^GDAXI
2012-12-18,,,67.00,gemessen:^GDAXI
2012-12-19,,,64.00,gemessen:^GDAXI
2012-12-20,,,59.00,gemessen:^GDAXI
2012-12-21,,,56.00,gemessen:^GDAXI
2012-12-24,,,51.00,gemessen:^GDAXI
2012-12-26,,,58.00,gemessen:^GDAXI
2012-12-27,,,58.00,gemessen:^GDAXI
2012-12-28,,,66.00,gemessen:^GDAXI
2012-12-31,,,66.00,gemessen:^GDAXI
2013-01-02,,,68.00,gemessen:^GDAXI
2013-01-03,,,69.00,gemessen:^GDAXI
2013-01-04,,,82.00,gemessen:^GDAXI
2013-01-07,,,82.00,gemessen:^GDAXI
2013-01-08,,,80.00,gemessen:^GDAXI
2013-01-09,,,81.00,gemessen:^GDAXI
2013-01-10,,,85.00,gemessen:^GDAXI
2013-01-11,,,85.00,gemessen:^GDAXI
